year,hours_with_excess_pct,median_excess_MW,excess_pct_of_generation,excess_GWh,excess_pct_of_shed_same_hours,identity_exact_pct
2022,25.52603102080077,62.0,0.18624677753390784,154.736,8.94286107287054,73.8968378020921
2023,56.28375945264674,17.0,0.16088053762268933,140.895,5.526202148509892,42.90001200336094
2024,56.495215311004785,13.0,0.10718415642525474,99.579,4.872335980248199,42.84688995215311
2025,36.94510739856802,3.0,0.017207283292773858,17.159,4.778481100785599,62.89976133651551
