holdout,admitted,seed,mode,spec,n_train,n_test,n_cens_train,true_supp_pp,bias_pp,final_nll,diverged,max_abs_std_test,secs
2021,0.4,2,fixed,icg,1783,365,1149,1.3275,-6.6016,1.071196,0,5.10051,31.6
2021,0.6,0,fixed,blind,1783,365,1158,0.9307,-6.7597,-1.712664,0,5.10051,26.9
2021,0.6,0,fixed,tobit,1783,365,1158,0.9307,-2.1129,-0.420872,0,5.10051,28.5
2021,0.6,0,fixed,icg,1783,365,1158,0.9307,-5.0327,0.934588,0,5.10051,31.1
2021,0.6,1,fixed,blind,1783,365,1144,0.9014,-7.0225,-1.713273,0,5.10051,26.4
2021,0.6,1,fixed,tobit,1783,365,1144,0.9014,0.0882,-0.411456,0,5.10051,27.5
2021,0.6,1,fixed,icg,1783,365,1144,0.9014,-5.3655,0.808355,0,5.10051,30.3
2021,0.6,2,fixed,blind,1783,365,1149,0.8850,-7.4814,-1.703245,0,5.10051,27.1
2021,0.6,2,fixed,tobit,1783,365,1149,0.8850,4.0012,-0.442601,0,5.10051,28.6
2021,0.6,2,fixed,icg,1783,365,1149,0.8850,-6.6536,0.817930,0,5.10051,32.2
2021,1.0,0,fixed,blind,1783,365,1158,0.0000,-5.8202,-1.757962,0,5.10051,26.6
2021,1.0,0,fixed,tobit,1783,365,1158,0.0000,-0.7527,-0.369773,0,5.10051,28.7
2021,1.0,0,fixed,icg,1783,365,1158,0.0000,-4.0516,0.728751,0,5.10051,30.5
2021,1.0,1,fixed,blind,1783,365,1144,0.0000,-5.9446,-1.741767,0,5.10051,25.6
2021,1.0,1,fixed,tobit,1783,365,1144,0.0000,1.2031,-0.354075,0,5.10051,27.5
2021,1.0,1,fixed,icg,1783,365,1144,0.0000,-4.9105,0.614016,0,5.10051,30.8
2021,1.0,2,fixed,blind,1783,365,1149,0.0000,-6.5570,-1.758086,0,5.10051,27.0
2021,1.0,2,fixed,tobit,1783,365,1149,0.0000,5.5304,-0.387870,0,5.10051,29.4
