holdout,admitted,seed,mode,spec,n_train,n_test,n_cens_train,true_supp_pp,bias_pp,final_nll,diverged,max_abs_std_test,secs
2021,0.4,2,fixed,icg,1783,365,1149,1.3275,-6.5331,1.067983,0,5.10051,54.9
2021,0.6,0,fixed,blind,1783,365,1158,0.9307,-6.7825,-1.712753,0,5.10051,40.5
2021,0.6,0,fixed,tobit,1783,365,1158,0.9307,-2.1826,-0.420710,0,5.10051,34.9
2021,0.6,0,fixed,icg,1783,365,1158,0.9307,-5.0489,0.936500,0,5.10051,48.2
2021,0.6,1,fixed,blind,1783,365,1144,0.9014,-7.1673,-1.710748,0,5.10051,31.9
2021,0.6,1,fixed,tobit,1783,365,1144,0.9014,0.0450,-0.412793,0,5.10051,46.4
2021,0.6,1,fixed,icg,1783,365,1144,0.9014,-5.4880,0.808238,0,5.10051,55.9
2021,0.6,2,fixed,blind,1783,365,1149,0.8850,-7.4236,-1.702046,0,5.10051,32.9
2021,0.6,2,fixed,tobit,1783,365,1149,0.8850,3.9319,-0.443061,0,5.10051,42.6
2021,0.6,2,fixed,icg,1783,365,1149,0.8850,-6.5537,0.818994,0,5.10051,45.8
2021,1.0,0,fixed,blind,1783,365,1158,0.0000,-5.7423,-1.756396,0,5.10051,34.5
2021,1.0,0,fixed,tobit,1783,365,1158,0.0000,-1.2120,-0.374802,0,5.10051,44.1
2021,1.0,0,fixed,icg,1783,365,1158,0.0000,-4.0924,0.729667,0,5.10051,48.3
2021,1.0,1,fixed,blind,1783,365,1144,0.0000,-5.9661,-1.740139,0,5.10051,52.6
2021,1.0,1,fixed,tobit,1783,365,1144,0.0000,1.0846,-0.354553,0,5.10051,26.3
2021,1.0,1,fixed,icg,1783,365,1144,0.0000,-4.8293,0.612850,0,5.10051,20.9
2021,1.0,2,fixed,blind,1783,365,1149,0.0000,-6.6070,-1.755121,0,5.10051,36.1
2021,1.0,2,fixed,tobit,1783,365,1149,0.0000,5.4960,-0.388980,0,5.10051,37.0
