date,G,Dpub,S,slots,shed,T2M,RH2M,T2M_MAX,trend,cdd,cdd2,cdd_rh,tmax,sin1,cos1,sin2,cos2,weekend,dow1,dow2,dow3,dow4,dow5,dow6,covid,gdp_growth,log_gdp
2015-04-19,120954.0,120954.0,0.0,24,False,28.674792083275435,72.35161578753406,34.401311056469495,0.0,10.674792083275435,113.9511860211599,7.723384554209544,34.401311056469495,0.9540665500578387,-0.2995947563972602,-0.5716666713027052,-0.8204859638785327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.55263987816197,25.997016953932853
2015-04-22,117551.83333333333,117551.83333333333,0.0,24,False,29.22694084809966,76.38372347045426,34.11473837472738,0.008213552361396304,11.226940848099659,126.04420080672868,8.575555451603915,34.11473837472738,0.9373419384643772,-0.3484108069446808,-0.65316012232693,-0.7572198192083127,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-23,113261.66666666667,113261.66666666667,0.0,24,False,28.619196909190872,78.16567739830718,33.20407574778128,0.010951403148528405,10.619196909190872,112.76734299616898,8.300567198329144,33.20407574778128,0.9312100364121947,-0.3644830148102912,-0.6788204829862355,-0.734304263829602,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-24,105878.5,105818.5,0.0,24,False,26.836532143569176,80.7120698029881,30.39237731312265,0.013689253935660506,8.836532143569176,78.08430032433125,7.132147991881034,30.39237731312265,0.9248025743285089,-0.38044736628785164,-0.7036774074790128,-0.7105196029692745,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-25,114355.02,114355.02,0.0,24,False,25.828291174036238,79.67493448040454,29.38445925943827,0.01642710472279261,7.828291174036238,61.28214270549366,6.237185863848664,29.38445925943827,0.9181214482844364,-0.39629913726891813,-0.7277014757264236,-0.6858939875998223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-27,127777.5,127777.5,0.0,24,False,27.20923056010343,68.40577696150989,31.72487243464655,0.02190280629705681,9.209230560103428,84.80992750914291,6.299645716815559,31.72487243464655,0.9039461929224011,-0.42764620926777464,-0.7731383255706026,-0.6342374393978054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-28,124738.5,124738.5,0.0,24,False,27.431477559009924,70.69126429559638,32.38999516683482,0.024640657084188913,9.431477559009924,88.9527689461078,6.667230728219567,32.38999516683482,0.8964562582905575,-0.44313223418263453,-0.7944973291665992,-0.6072676460566135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-29,135200.0,135200.0,0.0,24,False,27.508663448584183,76.71482198848497,31.836905747237545,0.02737850787132101,9.508663448584183,90.41468057844085,7.294554238065492,31.836905747237545,0.8887010478292915,-0.45848712914008766,-0.8149159841660791,-0.5795791048257612,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-04-30,142020.0,142020.0,0.0,24,False,28.076255686520902,75.61028847954664,32.72934818726099,0.030116358658453114,10.076255686520902,101.53092866014481,7.618685992515177,32.72934818726099,0.8806828564301475,-0.47370635037968,-0.8343701235229538,-0.5512045872199277,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
2015-05-01,122740.5,122740.5,0.0,24,False,28.85398252810788,73.88682817493641,33.652919896328605,0.03285420944558522,10.853982528107881,117.80893672047115,8.01966342068069,33.652919896328605,0.8724040568049612,-0.48878539428899265,-0.8528367217694595,-0.522177676659508,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.55263987816197,25.997016953932853
