spec,gap_2022,gap_2023,gap_2024,gap_2025,insample_annual_gap_sd,insample_daily_resid_sd,R2,trend_pct_yr,cond,n_train,oos_rmse_pooled,oos_rmse_normal,oos_rmse_covid,oos_mean_normal,oos_mean_covid,oos_mean_pooled,oos_max_normal,oos_max_covid,oos_max_pooled
none,2.7798229008575963,7.941663648555785,10.558642904009098,9.572584592580194,1.8833196547883788,7.641415320442557,0.8681388845356977,8.241002846338352,995.0210911975005,2148,6.308959217879391,2.14150035024544,7.577033571540205,0.08085383401893627,5.990438228598367,4.020576763738557,2.7552137670227284,10.935790024435413,10.935790024435413
+growth,4.0344492973418244,8.161796760324355,9.600972044552913,8.205502121827418,1.2897224206987665,7.55070609501958,0.8712508804406821,8.486439946314484,1087.6355445891365,2148,16.107888537267264,17.459833398944212,15.387437035910015,-12.68903383191566,10.935404755822205,3.0605918932429157,25.14798819038707,33.13724912343613,33.13724912343613
+level,2.8731651291062166,7.308022416814822,7.087289751957887,2.666836523560328,1.4424601835469326,7.488456750021369,0.8733649904564172,0.40951887957603184,190813.4317909983,2148,5.284227032910001,3.576887516045472,5.957140325003623,2.5967635520194263,4.2554814781985435,3.702575502805504,4.880589260247152,8.619406369842405,8.619406369842405
