treatment,spec,gap_2022,gap_2023,gap_2024,gap_2025
interp,none,2.7798229008577495,7.941663648555964,10.558642904009464,9.572584592580508
interp,+level,2.8731651291058085,7.308022416814225,7.087289751956669,2.6668365235594433
equal_weight,none,2.8388976750564408,7.930494169769942,10.555591867313014,9.615801326946004
equal_weight,+level,2.9365399997433537,7.27020505567962,6.938050026670294,2.4209451191243883
ffill_23,none,2.777802888426172,7.921625503109376,10.57804236847645,9.625765578351103
ffill_23,+level,2.872044440750852,7.282694220438583,7.076287937365618,2.6583419090558684
bfill_01,none,2.874913875548885,8.076115076846685,10.659456216893375,9.640058167172182
bfill_01,+level,2.970784042986935,7.4253217640373395,7.0966678087609205,2.557416079718439
